,batch_size,resize_factor,frozen_epochs,unfrozen_epochs,frozen_lr,unfrozen_lr,base,erode_dilate,ratio_split,base_lower_bound,base_upper_bound,base_factors,erode_dilate_lower_bound,erode_dilate_upper_bound,erode_dilate_factors,erode_dilate_iterations,ratio_split_lower_bound,ratio_split_upper_bound,iou,wrong_count,kfold_split
113,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,10,60,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.9,1.5,0.9650449248493049,9,2
114,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,10,60,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.7,1.5,0.9650449248493049,9,2
115,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,10,60,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.9,1.5,0.9650449248493049,9,2
116,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,10,70,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.7,1.5,0.9650449248493049,9,2
117,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,10,70,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.9,1.5,0.9650449248493049,9,2
118,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,10,70,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.7,1.5,0.9650449248493049,9,2
119,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,10,70,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.9,1.5,0.9650449248493049,9,2
120,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,30,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.7,1.5,0.9540956681992458,15,3
121,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,30,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.9,1.5,0.9550909783150362,27,3
122,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,30,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.7,1.5,0.9606204978914915,19,3
123,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,30,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.9,1.5,0.9290963599195569,26,3
124,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,40,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.7,1.5,0.9540956681992458,15,3
125,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,40,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.9,1.5,0.9550909783150362,27,3
126,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,40,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.7,1.5,0.9606204978914915,19,3
127,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,40,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.9,1.5,0.9290963599195569,26,3
128,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,50,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.7,1.5,0.951022331181552,8,3
129,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,50,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.9,1.5,0.9512204192060175,20,3
130,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,50,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.7,1.5,0.9616569957994632,13,3
131,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,50,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.9,1.5,0.9337037726127543,20,3
132,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,60,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.7,1.5,0.951022331181552,8,3
133,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,60,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.9,1.5,0.9512204192060175,20,3
134,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,60,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.7,1.5,0.9616569957994632,13,3
135,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,60,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.9,1.5,0.9337037726127543,20,3
136,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,70,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.7,1.5,0.951022331181552,8,3
137,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,70,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.9,1.5,0.9512204192060175,20,3
138,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,70,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.7,1.5,0.9616569957994632,13,3
139,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,70,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.9,1.5,0.9337037726127543,20,3
140,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,10,30,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.7,1.5,0.9506940313748719,32,3
